CNTY_ST,STUSAB,FIPS,PPOV,PFHH,PHSLS,PUNEM,LO_POV,YCOORD,XCOORD,OTMIG,SQRTPPOV,PHSPLUS
Autauga County  AL,AL,1001,0.13719500000,0.19159500000,0.55972200000,0.04883300000,-1.83878900000,-785370.24570600000,834819.06345599900,0.181468,0.370398,0.440278
Baldwin County  AL,AL,1003,0.13411200000,0.18677800000,0.49118300000,0.04278300000,-1.86507900000,-994375.91074600000,757020.21568400000,0.123071,0.366213,0.508817
Barbour County  AL,AL,1005,0.37250300000,0.33785300000,0.68872700000,0.05664000000,-0.52149300000,-846428.52059099900,954379.64769600000,0.164296,0.610330,0.311273
Bibb County  AL,AL,1007,0.28108900000,0.19772900000,0.72857200000,0.06237500000,-0.93906500000,-738518.71333699900,786797.79408599900,0.139207,0.530178,0.271428
Blount County  AL,AL,1009,0.13526300000,0.12198800000,0.65215800000,0.04849500000,-1.85520700000,-625174.23766400000,824898.06314400000,0.137354,0.367781,0.347842
Bullock County  AL,AL,1011,0.44998300000,0.51721600000,0.75603000000,0.08557000000,-0.20073800000,-824310.39285700000,922598.61033800000,0.159603,0.670808,0.243970
Butler County  AL,AL,1013,0.31607400000,0.33040000000,0.67358900000,0.10627400000,-0.77187400000,-872040.20182299900,840360.68191199900,0.114528,0.562205,0.326411
Calhoun County  AL,AL,1015,0.23005000000,0.24217700000,0.57413400000,0.06586000000,-1.20803100000,-641271.48858799900,892069.85547900000,0.171522,0.479635,0.425866
Chambers County  AL,AL,1017,0.22720600000,0.30928300000,0.68190600000,0.06516200000,-1.22415300000,-731327.87944900000,941000.88020300000,0.137160,0.476661,0.318094
Cherokee County  AL,AL,1019,0.21264500000,0.14900400000,0.71479800000,0.03871600000,-1.30905600000,-594505.19091500000,906363.77387499900,0.134452,0.461134,0.285202
Chilton County  AL,AL,1021,0.19867000000,0.17110300000,0.69929600000,0.04302700000,-1.39463000000,-751548.78059400000,824510.83420000000,0.100307,0.445724,0.300704
Choctaw County  AL,AL,1023,0.34761200000,0.28218800000,0.69289500000,0.08774000000,-0.62955300000,-855928.93553200000,695478.94984699900,0.118473,0.589586,0.307105
Clarke County  AL,AL,1025,0.29814600000,0.26443900000,0.67451100000,0.08928400000,-0.85614100000,-890411.76154500000,737682.87112499900,0.139805,0.546027,0.325489
Clay County  AL,AL,1027,0.22123100000,0.19053000000,0.71560100000,0.05467900000,-1.25850700000,-696980.22215299900,895254.11874099900,0.120616,0.470352,0.284399
Cleburne County  AL,AL,1029,0.16229700000,0.13562100000,0.72112800000,0.05309900000,-1.64123200000,-648896.23054000000,920132.59824299900,0.136200,0.402861,0.278872
Coffee County  AL,AL,1031,0.22535100000,0.22707000000,0.54053300000,0.05693700000,-1.23475200000,-903960.86423599900,906782.89508599900,0.203529,0.474711,0.459467
Colbert County  AL,AL,1033,0.18583500000,0.21465100000,0.60750200000,0.05162200000,-1.47730200000,-556151.74497400000,709818.54984600000,0.141142,0.431086,0.392498
Conecuh County  AL,AL,1035,0.36212600000,0.31917300000,0.70489800000,0.09810800000,-0.56614700000,-910536.37508300000,815743.44086700000,0.146528,0.601769,0.295102
Coosa County  AL,AL,1037,0.19547800000,0.22879500000,0.72773200000,0.07082500000,-1.41479900000,-737417.87669900000,865174.34137899900,0.181693,0.442129,0.272268
Covington County  AL,AL,1039,0.24012800000,0.21482800000,0.64210500000,0.07618000000,-1.15197900000,-925475.32652600000,866800.64994399900,0.123020,0.490029,0.357895
Crenshaw County  AL,AL,1041,0.28737400000,0.26446800000,0.68622500000,0.05369800000,-0.90817300000,-870907.77667399900,873555.96525699900,0.112809,0.536073,0.313775
Cullman County  AL,AL,1043,0.14886300000,0.14520200000,0.61224200000,0.04133300000,-1.74354300000,-611181.69848699900,797048.16219700000,0.112263,0.385828,0.387758
Dale County  AL,AL,1045,0.19615600000,0.25011000000,0.52874100000,0.07651900000,-1.41049500000,-896910.29405300000,940426.57494900000,0.263236,0.442895,0.471259
Dallas County  AL,AL,1047,0.40976800000,0.44148700000,0.63794400000,0.11157900000,-0.36492300000,-812611.68604199900,795840.60370300000,0.137712,0.640131,0.362056
DeKalb County  AL,AL,1049,0.18820200000,0.16586800000,0.70310300000,0.05126000000,-1.46173400000,-565192.34446499900,885414.62747900000,0.133600,0.433823,0.296897
Elmore County  AL,AL,1051,0.14351700000,0.19124400000,0.57769000000,0.04973800000,-1.78637800000,-773914.97876500000,877945.43930299900,0.145842,0.378836,0.422310
Escambia County  AL,AL,1053,0.25046700000,0.26557400000,0.66727300000,0.06995400000,-1.09612500000,-945444.69008600000,803839.17224999900,0.151915,0.500467,0.332727
Etowah County  AL,AL,1055,0.22288900000,0.23722500000,0.58593700000,0.05963600000,-1.24890700000,-613098.95609200000,870528.76660600000,0.122251,0.472111,0.414063
Fayette County  AL,AL,1057,0.21345200000,0.18516900000,0.68005400000,0.07670200000,-1.30424000000,-663824.84871799900,725380.24412799900,0.145443,0.462009,0.319946
Franklin County  AL,AL,1059,0.24855900000,0.18248000000,0.68062000000,0.05576400000,-1.10631400000,-585046.02441900000,709033.49002000000,0.150071,0.498557,0.319380
