NAME	STUSAB	FIPS	PPOV	PHSP	PFHH	PWKCO	PHSLS	PUNEM	PUDEM	PEXTR	PPSRV	PMSRV	PNDMFG	PNHSPW	PMNRTY	WGHT	LO_POV	YCOORD	XCOORD	PFRN	PNAT	PBLK	P65UP	PMUNDEM	PDSABL	METRO	URBINF2003	ECONDEP	FARM	MINE	MANF	FSGOV	SERV	NONSP	HOUSE	LOWEDUC	LOWEMP	PERPOV	MPOV	LNMPOV	FPOV	LNFPOV	OTMIG	SQOTMIG	BINMIG	SQBINMIG	BMINMIG	SQBMINMIG	BFINMIG	SQBFINMIG	INCARC	BINCARC
Autauga_AL	AL	1001	0.13719500000	0.01396800000	0.19159500000	0.39736500000	0.55972200000	0.04883300000	0.17014500000	0.02301600000	0.38208700000	0.11676400000	0.08502200000	0.79739400000	0.20260600000	1463.31791000000	-1.83878900000	-785370.24570600000	834819.06345600000	0.01165500000	0.00444200000	0.17112000000	0.10192100000	0.34297800000	0.25398500000	1	2	3	0	0	1	0	0	0	0	0	0	0	5.105750	1.630367	3.505960	1.254464	0.181468	0.425990	0.006284	0.079273	0.003725	0.061032	0.000000	0.000000	0.006691	0.020918
Baldwin_AL	AL	1003	0.13411200000	0.01756200000	0.18677800000	0.72659500000	0.49118300000	0.04278300000	0.18314500000	0.01852600000	0.34866100000	0.14453900000	0.04099300000	0.86079100000	0.13920900000	3936.32610600000	-1.86507900000	-994375.91074600000	757020.21568400000	0.02105900000	0.00576100000	0.10286700000	0.15456300000	0.40691500000	0.25275300000	0	5	5	0	0	0	0	1	0	0	0	0	0	3.581176	1.275691	3.100442	1.131545	0.123071	0.350815	0.007189	0.084790	0.010719	0.103531	0.000000	0.000000	0.020164	0.116564
Barbour_AL	AL	1005	0.37250300000	0.01646100000	0.33785300000	0.83507900000	0.68872700000	0.05664000000	0.21826000000	0.04169500000	0.27352100000	0.09702700000	0.14500100000	0.50926400000	0.49073600000	1696.75161900000	-0.52149300000	-846428.52059100000	954379.64769600000	0.01498000000	0.00451100000	0.46322100000	0.13337700000	0.54574400000	0.31904500000	0	6	3	0	0	1	0	0	0	0	1	1	1	3.798613	1.334636	2.891019	1.061609	0.164296	0.405334	0.001124	0.033521	0.000000	0.000000	0.000000	0.000000	0.250541	0.341429
Bibb_AL	AL	1007	0.28108900000	0.01008400000	0.19772900000	0.40622200000	0.72857200000	0.06237500000	0.20516200000	0.05610600000	0.29647300000	0.08886700000	0.07116900000	0.76202800000	0.23797200000	1061.11216900000	-0.93906500000	-738518.71333700000	786797.79408600000	0.00427400000	0.00235300000	0.22203000000	0.11586500000	0.48477600000	0.29535700000	1	1	6	0	0	0	0	0	1	0	1	1	1	3.348043	1.208376	2.977604	1.091119	0.139207	0.373104	0.003362	0.057984	0.000000	0.000000	0.000000	0.000000	0.126725	0.355210
Blount_AL	AL	1009	0.13526300000	0.05326900000	0.12198800000	0.40287600000	0.65215800000	0.04849500000	0.15933000000	0.03070300000	0.31373100000	0.08479800000	0.08550300000	0.92111600000	0.07888400000	1511.56078300000	-1.85520700000	-625174.23766400000	824898.06314400000	0.03098500000	0.00490000000	0.01187700000	0.12852800000	0.36911800000	0.28600700000	1	1	6	0	0	0	0	0	1	0	0	0	0	1.452773	0.373474	1.613499	0.478405	0.137354	0.370613	0.460972	0.678949	0.352761	0.593937	0.000000	0.000000	0.006692	0.036145
Bullock_AL	AL	1011	0.44998300000	0.02748800000	0.51721600000	0.66144300000	0.75603000000	0.08557000000	0.23512900000	0.10462100000	0.33129900000	0.08921800000	0.17785500000	0.23595700000	0.76404300000	739.77249900000	-0.20073800000	-824310.39285700000	922598.61033800000	0.03056200000	0.00375600000	0.73109100000	0.13172300000	0.60535000000	0.34421900000	0	6	1	1	0	0	0	0	0	1	1	1	1	3.586002	1.277038	4.040024	1.396251	0.159603	0.399504	0.001819	0.042653	0.003793	0.061585	0.000000	0.000000	0.343952	0.345596
Butler_AL	AL	1013	0.31607400000	0.00668300000	0.33040000000	0.72427400000	0.67358900000	0.10627400000	0.21400100000	0.05221100000	0.28303800000	0.11678700000	0.10079900000	0.58082200000	0.41917800000	1239.95798500000	-0.77187400000	-872040.20182300000	840360.68191200000	0.00364500000	0.00210300000	0.40805600000	0.16383900000	0.50331100000	0.34318300000	0	6	6	0	0	0	0	0	1	0	0	1	1	4.156846	1.424757	3.397328	1.222989	0.114528	0.338419	0.002195	0.046852	0.004777	0.069114	0.000000	0.000000	0.005374	0.011252
Calhoun_AL	AL	1015	0.23005000000	0.01561700000	0.24217700000	0.84474700000	0.57413400000	0.06586000000	0.19943600000	0.00869300000	0.35613100000	0.11637000000	0.07549700000	0.78039000000	0.21961000000	4601.22323600000	-1.20803100000	-641271.48858800000	892069.85547900000	0.01698900000	0.00396400000	0.18539100000	0.14140000000	0.42342900000	0.27933400000	1	2	4	0	0	0	1	0	0	0	0	0	0	2.449984	0.896081	2.426784	0.886567	0.171522	0.414152	0.011948	0.109308	0.012618	0.112329	0.000000	0.000000	0.008652	0.030095
Chambers_AL	AL	1017	0.22720600000	0.00765400000	0.30928300000	0.59954800000	0.68190600000	0.06516200000	0.17593900000	0.01535500000	0.26435200000	0.09423400000	0.28779900000	0.60440600000	0.39559400000	1565.67971300000	-1.22415300000	-731327.87944900000	941000.88020300000	0.00803700000	0.00133900000	0.38113300000	0.16204200000	0.43645000000	0.31622200000	0	5	3	0	0	1	0	0	0	0	1	0	0	3.491966	1.250465	2.804003	1.031048	0.137160	0.370351	0.000290	0.017024	0.000000	0.000000	0.000000	0.000000	0.014891	0.030079
Cherokee_AL	AL	1019	0.21264500000	0.00850400000	0.14900400000	0.46385100000	0.71479800000	0.03871600000	0.16713700000	0.03634600000	0.24165000000	0.07082500000	0.26198400000	0.92396200000	0.07603800000	881.83785800000	-1.30905600000	-594505.19091500000	906363.77387500000	0.01079700000	0.00312700000	0.05544400000	0.15916300000	0.42985900000	0.29009200000	0	6	6	0	0	0	0	0	1	0	1	0	0	1.385446	0.326022	1.228241	0.205583	0.134452	0.366676	0.006456	0.080348	0.013193	0.114859	0.000000	0.000000	0.008912	0.027708
Chilton_AL	AL	1021	0.19867000000	0.02909600000	0.17110300000	0.47315000000	0.69929600000	0.04302700000	0.16665200000	0.03389300000	0.29988000000	0.10179500000	0.04610900000	0.85613600000	0.14386400000	1603.46217200000	-1.39463000000	-751548.78059400000	824510.83420000000	0.01886700000	0.00280400000	0.10607900000	0.12873500000	0.38032100000	0.27867000000	1	1	6	0	0	0	0	0	1	0	1	0	0	2.981123	1.092300	2.434639	0.889799	0.100307	0.316712	0.040200	0.200499	0.006619	0.081360	0.000000	0.000000	0.010292	0.050269
Choctaw_AL	AL	1023	0.34761200000	0.00672000000	0.28218800000	0.64511300000	0.69289500000	0.08774000000	0.22009600000	0.06674000000	0.28305000000	0.10020100000	0.19144300000	0.54792100000	0.45207900000	921.17183700000	-0.62955300000	-855928.93553200000	695478.94984700000	0.00552700000	0.00157000000	0.44133900000	0.14646400000	0.50990500000	0.33639000000	0	10	3	0	0	1	0	0	0	0	1	1	1	2.637448	0.969812	2.859150	1.050524	0.118473	0.344199	0.002058	0.045367	0.000000	0.000000	0.000000	0.000000	0.006004	0.012582
Clarke_AL	AL	1025	0.29814600000	0.00645900000	0.26443900000	0.75347200000	0.67451100000	0.08928400000	0.18117100000	0.04621500000	0.28579700000	0.08073100000	0.20351900000	0.55689500000	0.44310500000	1625.49330600000	-0.85614100000	-890411.76154500000	737682.87112500000	0.00534700000	0.00222500000	0.43022200000	0.13507000000	0.43914600000	0.30383700000	0	11	3	0	0	1	0	0	0	0	0	1	1	5.925835	1.779322	3.860157	1.350708	0.139805	0.373905	0.001579	0.039731	0.000000	0.000000	0.002996	0.054734	0.007388	0.013394
Clay_AL	AL	1027	0.22123100000	0.01774900000	0.19053000000	0.65906000000	0.71560100000	0.05467900000	0.14409100000	0.04080900000	0.26998300000	0.07622300000	0.15345700000	0.81492900000	0.18507100000	579.40410300000	-1.25850700000	-696980.22215300000	895254.11874100000	0.00891000000	0.00315700000	0.15700900000	0.16549700000	0.42587400000	0.29176100000	0	10	3	0	0	1	0	0	0	0	1	0	0	2.904611	1.066299	2.464626	0.902040	0.120616	0.347299	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.009955	0.035088
