Page ID	Name	Creation Date	Type	Louvain Community	Final In Degree	EC Estimate	Fraction of total pageviews (July 2015)	Number of Edits	Unique Editors	Number of Talk Page Edits	Unique Talk Page Editors	Page Size
0	"In_popular_culture"_content	2007-02-12 18:56:47 UTC	Essay	1	0	0.00016261627788941672	0.00020484445477733908	399	171	267	267	1560
1	"Murder_of"_articles	2013-05-14 04:15:31 UTC	Essay	1	0	0.00012541255379663505	0.00011791046665232201	35	8	1	1	5298
2	"Note_that"_is_unnecessary	2011-03-12 10:12:12 UTC	Essay	4	0	0.00014841485632711835	9.67598603460439e-05	5	3	0	0	1302
3	1.5_sources	2008-09-22 11:20:51 UTC	Essay	1	0	8.520852937379032e-05	1.099165367097917e-05	11	8	36	36	1402
4	100,000_feature-quality_articles	2006-09-14 15:06:24 UTC	Essay	5	0	0.0001297129842697254	0.0001515515884938037	272	81	41	41	745
5	99_Bottles_of_Beer_test	2010-05-31 03:16:18 UTC	Essay	1	0	8.500850935178611e-05	1.1990894913795458e-05	13	3	1	1	1083
6	AKA_names	2012-03-25 21:56:02 UTC	Essay	7	0	0.00011611162277343962	1.6320940299332707e-05	2	2	0	0	4513
7	ANI_advice	2013-06-28 15:15:05 UTC	Essay	2	0	0.00036233626986061307	6.361835912597035e-05	69	18	20	20	2245
8	ASCII_art_conversion_tool	2002-04-30 17:11:23 UTC	Other	-1	0	8.420842926376931e-05	3.147609914871308e-05	14	12	1	1	11936
9	A_Side_of_Chips	2011-09-14 11:53:31 UTC	Humor	6	0	0.00019251927117904503	1.0325492842434977e-05	7	4	0	0	755
10	A_navbox_on_every_page	2009-05-21 00:54:18 UTC	Essay	4	0	0.0002822282510479299	0.00014055993482282454	69	30	42	42	438
11	A_nice_cup_of_tea_and_a_sit_down	2005-11-10 20:47:52 UTC	Essay	2	0	0.0007240724796552135	0.0002111729826485089	795	474	98	98	2023
12	A_note_regarding_BRD	2010-06-05 04:57:58 UTC	Essay	2	0	0.00019611963157512068	8.493550563938449e-06	4	3	4	4	600
13	A_primer_for_newcomers	2009-10-05 20:06:05 UTC	Essay	5	0	0.00014261427568899648	0.004537721023835901	385	79	113	113	378
14	A_researcher's_guide_to_discussion_pages	2006-02-04 20:33:20 UTC	Essay	3	0	0.0001217121833895573	2.031790527059786e-05	15	11	0	0	4181
15	A_warning_to_concert_organizers	2009-06-21 01:09:38 UTC	Essay	5	0	9.430944037498154e-05	1.7986342370693187e-05	26	8	2	2	5024
16	About	2002-07-24 11:37:49 UTC	Basic	5	0	0.000506350685703639	0.12080526853276079	5336	2794	2560	2560	986
17	About_DramaQueenipedia	2008-12-08 13:50:40 UTC	Essay	-1	0	8.950895984688067e-05	9.825872221026834e-06	8	7	2	2	2016
18	About_Valid_Routine_Calculations	2013-07-13 22:53:41 UTC	Essay	1	0	0.00010791080187126732	4.063581054119572e-05	27	9	34	34	3971
19	About_page_view_statistics	2011-11-28 19:11:33 UTC	Essay	4	0	0.00010291030132116225	2.3149088791910674e-05	15	10	9	9	2583
20	About_template_mania	2008-12-27 14:03:30 UTC	Essay	7	0	8.710871958283025e-05	6.328527871169825e-06	7	5	2	2	1132
21	About_the_Sandbox	2004-07-05 23:54:27 UTC	Essay	3	0	0.0007309731704143585	0.00035040059581424506	782	481	918	918	1489
22	Abundance_and_redundancy	2003-01-30 08:31:38 UTC	Essay	4	0	0.0003433343677702138	2.6646433141767684e-05	60	40	16	16	2957
23	Academic_bias	2013-03-13 14:51:35 UTC	Essay	1	0	0.00011771178294947324	1.3656296985155937e-05	82	5	36	36	5573
24	Academic_studies_of_Wikipedia	2003-12-02 19:24:17 UTC	Other	5	0	0.0005579558513807233	0.00010908383567411145	876	295	67	67	4518
25	Academic_use	2006-06-17 09:50:27 UTC	Essay	5	0	0.00014291430572200276	0.0009234654485693863	400	224	23	23	3366
26	Accepting_other_users	2009-09-29 15:58:07 UTC	Essay	7	0	0.0002289229151838099	0.00011574544395955338	61	21	4	4	6127
27	Access_to_nonpublic_information	2010-11-27 03:59:54 UTC	Essay	3	0	0.0012548256080433652	0.0	57	35	6	6	1429
28	Account_creator	2010-02-23 23:27:55 UTC	Other	3	0	0.00034113414752816757	0.0002476452880113034	129	68	62	62	1799
29	Accountability	2003-01-09 21:24:11 UTC	Proposal	2	0	0.00015011502651415405	1.0658573256707075e-05	92	50	82	82	1208
30	Accuracy_dispute	2003-05-24 12:08:16 UTC	Guideline	2	0	0.000736473721019474	0.0027154380773532633	662	419	220	220	1147
31	Activist	2010-08-31 10:17:27 UTC	Essay	2	0	0.0002550255280553583	9.126403351055432e-05	464	55	971	971	14193
32	Actually_editing_scientific_articles	2009-11-12 14:37:09 UTC	Essay	1	0	0.00010251026127715385	2.1650226927686246e-06	16	7	5	5	201
33	Add_wikilinked_sections_to_balance_NPOV	2010-05-14 08:49:58 UTC	Essay	7	0	0.00020012003201520473	7.993929942530306e-06	5	4	0	0	6129
34	Added_or_removed_characters	2006-12-24 22:55:00 UTC	Other	3	0	8.840884972585756e-05	4.696433841236555e-05	32	25	69	69	1174
35	Adding_images_improves_the_encyclopedia	2015-09-01 02:21:10 UTC	Essay	1	0	8.38083892197609e-05	0	54	1	0	0	2482
36	Adjectives_in_your_recommendations	2006-11-19 02:40:55 UTC	Essay	2	0	8.730873960483445e-05	0.00013156676363747794	21	14	14	14	4048
37	Admin_buddies	2007-04-25 14:23:39 UTC	Essay	6	0	8.910891980287227e-05	8.160470149666353e-06	14	10	10	10	2272
38	Admin_functions_that_should_be_performed_only_by_admins_who_are_adults	2010-04-19 16:39:59 UTC	Essay	3	0	0.000191519171069024	9.32625159961869e-06	25	14	17	17	1726
39	Admin_recall	2006-08-10 22:46:21 UTC	Proposal	3	0	0.00014431444587603218	8.493550563938449e-06	158	17	1	1	10626
40	Administration	2005-07-02 02:01:41 UTC	Other	3	0	0.0009651966161812797	0.00014105955544423267	350	58	7	7	38
41	Administrative_Standards_Commission	2014-10-30 23:11:54 UTC	Proposal	3	0	0.00012891290418170858	1.2823595949475699e-05	60	7	147	147	3775
42	Administrator_Code_of_Conduct	2006-01-21 13:36:48 UTC	Proposal	3	0	0.00011751176292746904	1.265705574233965e-05	72	32	118	118	6596
43	Administrator_Reform	2007-09-18 00:18:16 UTC	Proposal	-1	0	8.150815896671256e-05	5.495826835489585e-06	12	8	10	10	1342
44	Administrator_recall	2006-08-17 18:23:18 UTC	Proposal	3	0	0.00015661567722929066	4.1635051784012005e-06	30	14	7	7	36
45	Administrators	2001-05-16 21:19:47 UTC	Policy	3	0	0.012133914604851945	0.0035463071707550068	2853	1211	4197	4197	8078
46	Administrators'_how-to_guide	2004-07-13 05:35:55 UTC	Essay	3	0	0.0004665467013248026	0.00022532890025507297	217	144	28	28	8754
47	Administrators'_reading_list	2003-08-24 19:52:48 UTC	Essay	3	0	0.0004987499248674792	0.0002070094774701077	168	104	45	45	1123
48	Administrators_accountability	2007-03-04 21:48:37 UTC	Proposal	8	0	0.00015941595753734948	3.4973443498570087e-06	36	15	157	157	1468
49	Administrators_against_kitten_abuse	2010-01-28 05:47:16 UTC	Humor	-1	0	9.390940033097314e-05	3.830424764129105e-06	36	19	1	1	265
50	Adminitis	2006-02-10 14:43:17 UTC	Essay	2	0	0.00029352938229116737	3.147609914871308e-05	130	79	17	17	843
51	Admins_are_people_too	2013-03-21 17:56:04 UTC	Essay	2	0	0.00010381039142018116	5.329286628353537e-06	30	25	5	5	1940
52	Adminship_in_other_languages	2006-09-15 14:41:25 UTC	Culture	-1	0	9.13091400449185e-05	6.328527871169825e-06	31	21	8	8	7797
53	Adminship_is_not_for_new_users	2008-12-08 23:18:07 UTC	Essay	3	0	0.0001465146661180784	1.7153641335012945e-05	27	17	12	12	1287
54	Adminship_renewal	2006-05-14 13:00:16 UTC	Proposal	3	0	0.00015771578735031378	5.8289072497616805e-06	24	13	81	81	1829
